time_min	time_mean	time_maxl	time_max	ra	quality	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	alpha	lal_approximant	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	5.38188910647275e+01	1.68867665917036e+00	-1.92451416199688e+01	-4.93775017351112e+01	1.47717856057746e+02	-3.79483611772590e+04	2.23010153587247e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.42161110896290e+02	8.49215924739838e-01	2.84305649891324e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.84139436900308e+01	2.29024156710906e+00	-1.91336718348797e+01	-4.94361874512645e+01	1.47893913206206e+02	-3.79478792251350e+04	2.23318096229078e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.42643063020332e+02	8.49215924739838e-01	1.74948599297309e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.20967359900866e+01	1.46627201879763e+00	-1.68458447505445e+01	-4.92170697437260e+01	1.47236560083591e+02	-3.79477137544044e+04	2.23517339422023e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.42808533750918e+02	8.49215924739838e-01	5.46962590984324e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.28107042324556e+01	3.08756690951473e+00	-2.04135064280588e+01	-4.93388125035605e+01	1.47601788363094e+02	-3.79467560600406e+04	2.22770316246227e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.43766228114670e+02	8.49215924739838e-01	2.63074157472303e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.98333968784465e+01	1.31445687487656e+00	-1.95174957585534e+01	-4.93877101975468e+01	1.47748481445053e+02	-3.79460600378399e+04	2.24291954735086e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.44462250315453e+02	8.49215924739838e-01	5.75442287358906e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.60513171712642e+01	2.15030510547213e+00	-1.92787250926025e+01	-4.90870444989680e+01	1.46846484349317e+02	-3.79458440300966e+04	2.22242713089719e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.44678258058695e+02	8.49215924739838e-01	2.23634271624282e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.14493589740665e+01	2.89761401313582e+00	-2.02399010053943e+01	-4.95540134995289e+01	1.48247391350999e+02	-3.79453209601247e+04	2.23970192571229e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.45201328030584e+02	8.49215924739838e-01	3.24671587391749e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	6.00404728144630e+01	6.65016650252446e-01	-2.09174498895833e+01	-4.94591961430193e+01	1.47962939281471e+02	-3.79452138348413e+04	2.23453570382049e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.45308453313963e+02	8.49215924739838e-01	1.92065616847109e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.53904066160304e+01	1.31468729965713e+00	-1.76572867623773e+01	-4.95459454175360e+01	1.48223187105021e+02	-3.79449632262619e+04	2.24419936815229e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.45559061893437e+02	8.49215924739838e-01	6.01851770853539e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	5.38559620609924e+01	6.65016650252446e-01	-2.09832152890931e+01	-4.94591961430193e+01	1.47962939281471e+02	-3.79445436901566e+04	2.23440732226648e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.45978597998743e+02	8.49215924739838e-01	2.12841141005777e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.32348387855094e+01	5.23639791624702e-01	-1.97587349870407e+01	-4.95558767310080e+01	1.48252981045437e+02	-3.79445142155869e+04	2.22729629236674e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46008072568366e+02	8.49215924739838e-01	4.76030650805031e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143748e+09	1.10631698148418e+09	8.04744482040405e-01	4.36241475456219e+01	2.63622808557233e+00	-2.04811016564752e+01	-4.92562635218347e+01	1.47354141417917e+02	-3.79440939218965e+04	2.22424522266187e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46428366258799e+02	8.49215924739838e-01	5.75830445241859e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	5.60221475158260e+01	2.70377083200475e+00	-2.07524575256359e+01	-4.92092912169441e+01	1.47213224503245e+02	-3.79440805775523e+04	2.23452200627531e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46441710602972e+02	8.49215924739838e-01	5.60577957350360e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	6.19886376991129e+01	1.86178812811660e+00	-2.02929442528504e+01	-4.91806026069393e+01	1.47127158673231e+02	-3.79439545863378e+04	2.23879747173753e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46567701817461e+02	8.49215924739838e-01	1.94989399434468e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143748e+09	1.10631698148418e+09	8.04744482040405e-01	5.14427626714074e+01	2.59101599288634e+00	-2.04099528654541e+01	-4.90570606149862e+01	1.46756532697371e+02	-3.79438393208567e+04	2.21923557506690e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46682967298642e+02	8.49215924739838e-01	5.84745786371960e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.80631628345396e+01	3.83068666978589e-01	-1.99305341305222e+01	-4.93606235491992e+01	1.47667221500010e+02	-3.79435911509438e+04	2.22699804613459e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46931137211475e+02	8.49215924739838e-01	1.70666641048642e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143723e+09	1.10631698148418e+09	8.04744482040405e-01	5.27775402155550e+01	2.90433198349398e+00	-1.94404568899935e+01	-4.92305264412621e+01	1.47276930176199e+02	-3.79435810472268e+04	2.22222549237174e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46941240928551e+02	8.49215924739838e-01	2.54536647268405e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.43385839410570e+01	2.14599161915986e+00	-2.08799692404950e+01	-4.94575207721736e+01	1.47957913168933e+02	-3.79435411427954e+04	2.22702057901715e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.46981145359954e+02	8.49215924739838e-01	1.56127932761342e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.00983722512681e+01	2.86047816078954e+00	-1.98870052798096e+01	-4.94288668380237e+01	1.47871951366484e+02	-3.79434554025182e+04	2.23589303871378e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47066885637076e+02	8.49215924739838e-01	3.34638151131529e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	5.97039754883666e+01	2.71778272115749e+00	-2.14309462037207e+01	-4.92145777257160e+01	1.47229084029561e+02	-3.79433110321294e+04	2.24260858711139e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47211256025890e+02	8.49215924739838e-01	5.70308468616723e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.15578564558421e+01	6.32245166675490e-01	-2.09058484545442e+01	-4.93625821506219e+01	1.47673097304278e+02	-3.79432832470101e+04	2.23980027840394e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47239041145171e+02	8.49215924739838e-01	5.27426311251978e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.54890482599458e+01	2.92583320282310e+00	-2.08502643134126e+01	-4.94791018770472e+01	1.48022656483554e+02	-3.79432010880368e+04	2.24548054050812e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47321200118466e+02	8.49215924739838e-01	2.90185925828039e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143723e+09	1.10631698148418e+09	8.04744482040405e-01	4.78158370131356e+01	2.76272710327707e+00	-2.12755980264901e+01	-4.92974529833695e+01	1.47477709802521e+02	-3.79431261700497e+04	2.21532811317707e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47396118105578e+02	8.49215924739838e-01	2.75225943688662e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.49302401836107e+01	2.29936183222728e+00	-1.94101106486950e+01	-4.95220973715829e+01	1.48151642967161e+02	-3.79431199482107e+04	2.22545300585746e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47402339944645e+02	8.49215924739838e-01	4.97730781344769e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.69572693118881e+01	1.42637948658765e+00	-2.14746318008255e+01	-4.93094896212308e+01	1.47513819716105e+02	-3.79430923138085e+04	2.22024190868311e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47429974346822e+02	8.49215924739838e-01	5.67628250267113e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.77229724811680e+01	5.25542371321724e-01	-2.13388578881533e+01	-4.94749310431965e+01	1.48010143982002e+02	-3.79430593067679e+04	2.22285422210226e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47462981387376e+02	8.49215924739838e-01	5.04615763041531e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	5.06184833509052e+01	7.62233708035708e-01	-2.07900111135204e+01	-4.93428519815744e+01	1.47613906797136e+02	-3.79430467832988e+04	2.23058164994559e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47475504856462e+02	8.49215924739838e-01	1.72052382470022e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.80808224965935e+01	1.80893763634203e+00	-2.10962662688220e+01	-4.91849093277349e+01	1.47140078835617e+02	-3.79430163389100e+04	2.22684879074973e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47505949245271e+02	8.49215924739838e-01	1.69821752254005e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143882e+09	1.10631698148418e+09	8.04744482040405e-01	4.01863116463359e+01	1.30560741326366e+00	-2.07311565666349e+01	-4.91028846691166e+01	1.46894004859763e+02	-3.79430152298972e+04	2.23364383679335e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47507058258139e+02	8.49215924739838e-01	2.51361766842977e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.48030849324293e+01	4.41584702893425e-01	-2.08149294481845e+01	-4.93890511267023e+01	1.47752504232520e+02	-3.79429496775457e+04	2.23872441204934e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47572610609626e+02	8.49215924739838e-01	1.64526030050679e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143821e+09	1.10631698148418e+09	8.04744482040405e-01	4.82531060862796e+01	8.31570686927507e-01	-2.10265731561153e+01	-4.93012255089082e+01	1.47489027379137e+02	-3.79428937177681e+04	2.23217296892473e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47628570387162e+02	8.49215924739838e-01	5.40897661327102e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	4.39906707141733e+01	2.80247752589556e+00	-2.16669856525640e+01	-4.95425618331309e+01	1.48213036351806e+02	-3.79428828794122e+04	2.22836240112338e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47639408743060e+02	8.49215924739838e-01	3.00090829494624e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	5.04287185788851e+01	3.10684567185564e+00	-1.77425202844460e+01	-4.91948618096317e+01	1.47169936281308e+02	-3.79428619707991e+04	2.23837052029327e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47660317356225e+02	8.49215924739838e-01	5.51572292916832e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.09906849672193e+01	1.89197379989216e+00	-2.13004861643845e+01	-4.93631804259872e+01	1.47674892130374e+02	-3.79428386155077e+04	2.24031527137008e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47683672647632e+02	8.49215924739838e-01	1.77865185356168e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	4.74537458027080e+01	2.19490920872840e+00	-2.03267540294843e+01	-4.95457542703058e+01	1.48222613663330e+02	-3.79428220807665e+04	2.23495219411235e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47700207388836e+02	8.49215924739838e-01	4.98767685463592e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	5.12963331408517e+01	1.42270736715185e+00	-2.09536398594975e+01	-4.95036730352763e+01	1.48096369958242e+02	-3.79427264258392e+04	2.22834672521408e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47795862316139e+02	8.49215924739838e-01	6.27074014417387e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	4.44337135666557e+01	6.04812565050181e-01	-2.13745978451822e+01	-4.92184865361660e+01	1.47240810460911e+02	-3.79425379517140e+04	2.23985661717828e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.47984336441295e+02	8.49215924739838e-01	5.15753533989967e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	5.78494317625077e+01	1.96450640354903e+00	-2.13896046838199e+01	-4.93017778165260e+01	1.47490684301991e+02	-3.79425036571314e+04	2.23028696914791e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48018631023915e+02	8.49215924739838e-01	2.07122471794866e+00	0.00000000000000e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143906e+09	1.10631698148418e+09	8.04744482040405e-01	5.00164624628309e+01	2.54016461266475e+00	-2.11977782749814e+01	-4.89274893171919e+01	1.46367818803989e+02	-3.79424853461009e+04	2.24320573569660e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.48036942054430e+02	8.49215924739838e-01	2.67179589398205e+00	0.00000000000000e+00	
