time_min	time_mean	time_maxl	time_max	ra	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	bandwidth	alpha	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.13405472231849e+00	-1.91720851200920e+01	-4.96528775644091e+01	1.48543983545640e+02	-3.79084290991307e+04	1.53091640976964e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.82093189024643e+02	8.49215924739838e-01	9.39435318576122e+01	2.09904405486646e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	5.65601416422009e-01	-1.99307610860269e+01	-4.97358185074127e+01	1.48792806374651e+02	-3.79082696227797e+04	1.52639695786998e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.82252665375570e+02	8.49215924739838e-01	9.48959780044625e+01	5.06521847803632e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143503e+09	1.10631698148418e+09	8.04744482040405e-01	1.41242852699441e-01	-2.08672288806939e+01	-4.91797376956536e+01	1.47124563939374e+02	-3.79070777470565e+04	1.50834855933771e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.83444541098841e+02	8.49215924739838e-01	9.88589216722096e+01	2.01420458455809e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.15748525868220e+00	-2.06767958225004e+01	-4.93893093336293e+01	1.47753278853301e+02	-3.79069962247791e+04	1.56697468484963e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.83526063376223e+02	8.49215924739838e-01	9.91017722826918e+01	2.19926208039299e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.16968284355585e+00	-1.95498026157797e+01	-4.97429393651560e+01	1.48814168947881e+02	-3.79064881096462e+04	1.52367117612733e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.84034178509093e+02	8.49215924739838e-01	9.66271649768050e+01	1.92680563247470e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143540e+09	1.10631698148418e+09	8.04744482040405e-01	1.60254192841576e+00	-2.13180373296757e+01	-4.92149170296457e+01	1.47230101941350e+02	-3.79064564642945e+04	1.56376687457268e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.84065823860801e+02	8.49215924739838e-01	9.97745560798050e+01	2.34932074949063e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	7.85944315143286e-01	-2.12199700090590e+01	-4.95615492042367e+01	1.48269998465123e+02	-3.79059777529862e+04	1.51708826785436e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.84544535169101e+02	8.49215924739838e-01	9.68585173064118e+01	5.11040555203359e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143503e+09	1.10631698148418e+09	8.04744482040405e-01	1.85573585559345e+00	-1.94441388133318e+01	-4.93758480711078e+01	1.47712895065736e+02	-3.79055605402895e+04	1.54477824359850e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.84961747865782e+02	8.49215924739838e-01	9.59284138637053e+01	5.50191887448111e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.68114814209181e+00	-1.97397933619087e+01	-4.93810817112961e+01	1.47728595986301e+02	-3.79054720860418e+04	1.51920499344111e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85050202113554e+02	8.49215924739838e-01	9.24513594131127e+01	2.68330842508363e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	1.22211691945489e+00	-1.99581397463001e+01	-4.93012211730543e+01	1.47489014371576e+02	-3.79051965307040e+04	1.55624193228609e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85325757451268e+02	8.49215924739838e-01	9.67942188491693e+01	5.51735478717659e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	1.06454624671126e+00	-2.11984229754552e+01	-4.93903167746730e+01	1.47756301176432e+02	-3.79051075830435e+04	1.50552516900512e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85414705111849e+02	8.49215924739838e-01	9.61071302256395e+01	5.84635340023516e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	2.09185096760528e+00	-1.89532097217359e+01	-4.95449156899736e+01	1.48220097922333e+02	-3.79049802850442e+04	1.52723572606436e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85542003111063e+02	8.49215924739838e-01	9.73294751123178e+01	1.96108340021165e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143528e+09	1.10631698148418e+09	8.04744482040405e-01	6.00014094030196e-01	-2.16134482779651e+01	-4.96216088207848e+01	1.48450177314767e+02	-3.79048614391764e+04	1.52935648330160e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85660848978936e+02	8.49215924739838e-01	9.43343515729189e+01	5.02712643870571e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143516e+09	1.10631698148418e+09	8.04744482040405e-01	2.85131895255035e+00	-2.16859389660571e+01	-4.96164503043213e+01	1.48434701765377e+02	-3.79047639723419e+04	1.53400502288912e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85758315813386e+02	8.49215924739838e-01	9.95617315814429e+01	2.47628859565126e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143503e+09	1.10631698148418e+09	8.04744482040405e-01	1.80567764350087e+00	-2.18808211710988e+01	-4.93971102478881e+01	1.47776681596077e+02	-3.79047626450872e+04	1.51398308119896e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.85759643068086e+02	8.49215924739838e-01	9.45603563119472e+01	5.38651118411694e+00	
