time_min	time_mean	time_maxl	time_max	ra	psi	logw	loghrss	logprior	logl	frequency	deltaloglv1	deltalogll1	deltaloglh1	deltalogl	dec	bandwidth	alpha	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	1.28461634127463e+00	-3.56579067523336e+01	-4.92544210632880e+01	1.18870736711293e+02	-3.79642423027090e+04	2.24243238827448e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.26279985446352e+02	8.49215924739838e-01	2.84778773309837e+01	5.93570739186639e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.69572295495289e+00	-3.31851254168515e+01	-4.92749291753592e+01	1.19560365198597e+02	-3.79623264462090e+04	2.23486389759791e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.28195841946341e+02	8.49215924739838e-01	2.78497731798934e+01	2.69279777224638e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143906e+09	1.10631698148418e+09	8.04744482040405e-01	1.03220053667191e+00	-3.55655617028466e+01	-4.91386415791980e+01	1.15016014727032e+02	-3.79602954070047e+04	2.24086593601651e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.30226881150556e+02	8.49215924739838e-01	3.19852608629749e+01	5.81561747238190e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	2.85590183474797e+00	-3.77341646865023e+01	-4.93941019701894e+01	1.16777690141155e+02	-3.79584724494378e+04	2.23001343576802e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.32049838717503e+02	8.49215924739838e-01	3.09899666218257e+01	6.20171490782268e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143821e+09	1.10631698148418e+09	8.04744482040405e-01	2.34883613203088e+00	-3.88440785475019e+01	-4.90486550232502e+01	1.13869232848786e+02	-3.79579879586619e+04	2.23728792895990e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.32534329493450e+02	8.49215924739838e-01	3.28620830733773e+01	2.52460546606495e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143967e+09	1.10631698148418e+09	8.04744482040405e-01	1.37942328318827e+00	-3.88921849334646e+01	-4.94055489118441e+01	1.16009857244929e+02	-3.79576276987981e+04	2.24753014822882e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.32894589357187e+02	8.49215924739838e-01	3.17921403430163e+01	2.55598742118619e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143906e+09	1.10631698148418e+09	8.04744482040405e-01	2.52041773421677e+00	-3.94578434253833e+01	-4.93587104963447e+01	1.11498168597241e+02	-3.79573977817015e+04	2.23576611376820e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.33124506453838e+02	8.49215924739838e-01	3.61633137442061e+01	2.61134075947164e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143967e+09	1.10631698148418e+09	8.04744482040405e-01	2.74264919301980e+00	-3.65886145324889e+01	-4.92545260360780e+01	1.16171059464969e+02	-3.79572839953981e+04	2.24394946255813e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.33238292757160e+02	8.49215924739838e-01	3.11778694956771e+01	6.26223578500096e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143845e+09	1.10631698148418e+09	8.04744482040405e-01	2.04424024774789e+00	-3.91003343963203e+01	-4.94913466743921e+01	1.17853377724841e+02	-3.79571919585629e+04	2.23198561249214e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.33330329592369e+02	8.49215924739838e-01	3.02060131507478e+01	4.98714328456585e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143980e+09	1.10631698148418e+09	8.04744482040405e-01	4.44292857510342e-01	-3.97799448869438e+01	-4.94348826294503e+01	1.18218648971902e+02	-3.79570552436930e+04	2.24255651805103e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.33467044462319e+02	8.49215924739838e-01	2.96713497688614e+01	1.81633205784541e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143833e+09	1.10631698148418e+09	8.04744482040405e-01	1.22399165177894e+00	-3.96427189352507e+01	-4.93490993213329e+01	1.15514856335190e+02	-3.79567274280771e+04	2.23636505297222e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.33794860078255e+02	8.49215924739838e-01	3.21177924812211e+01	3.03548078659960e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143857e+09	1.10631698148418e+09	8.04744482040405e-01	2.65846410422519e+00	-4.01651842683969e+01	-4.92090039893038e+01	1.16379033304827e+02	-3.79560597517000e+04	2.23073988308777e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.34462536455299e+02	8.49215924739838e-01	3.08333295154969e+01	2.79657821624881e+00	
1.10631698138418e+09	1.10631698138413e+09	1.10631698143870e+09	1.10631698148418e+09	8.04744482040405e-01	3.27211881165746e-01	-3.91736680223992e+01	-4.93043579982504e+01	1.15836799545617e+02	-3.79553155776829e+04	2.22775953795127e+03	1.26132956660165e+04	1.26527068254648e+04	1.28245197966739e+04	1.35206710472412e+02	8.49215924739838e-01	3.16616253015468e+01	4.98319391157177e+00	
